Zebra-Tech BLE Version, 3.0.13
Download Location (lat/long), Unavailable
Time Zone, UTC
Download Time,04/10/2023 13:27:05
Moana Serial Number,870
Moana Firmware,MOANA-2.00
Protocol Version,2
Moana calibration date,28/06/2023
Reset Codes, 0x202104
Moana Battery (V),3.56
Max Lifetime Depth (dBar),1121.4
Baseline(mBar),1085
Date,Time,Depth Decibar,Temperature C
30/09/2023,15:59:18,0.7,19.227
01/10/2023,10:11:33,1.3,1.238
01/10/2023,10:11:37,2.8,0.899
01/10/2023,10:11:40,3.8,0.755
01/10/2023,10:11:42,5.1,0.762
01/10/2023,10:11:46,6.8,0.707
01/10/2023,10:11:50,8.0,0.689
01/10/2023,10:11:52,9.5,0.672
01/10/2023,10:11:55,11.3,0.692
01/10/2023,10:11:57,12.6,0.678
01/10/2023,10:12:03,13.6,0.667
01/10/2023,10:12:29,12.5,0.667
01/10/2023,10:12:42,11.2,0.670
01/10/2023,10:12:47,10.1,0.668
01/10/2023,10:12:50,8.9,0.668
01/10/2023,10:12:52,7.8,0.682
01/10/2023,10:12:54,5.9,0.699
01/10/2023,10:12:56,4.3,0.720
01/10/2023,10:12:58,3.0,0.787
01/10/2023,10:13:00,1.0,0.975
01/10/2023,10:13:02,0.0,1.268
01/10/2023,22:13:03,-0.2,17.043
